"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002181","GO:0002181","cytoplasmic translation","38/772","157/17790",2.0610817411498e-18,1.03239584414194e-14,9.60030179430303e-15,"RPS29/RPL12/RPL17/RPL24/RPL6/RPS14/RPL13A/EIF3H/EIF3G/EIF3K/RPSA/EIF2D/NCBP2/RPL26/RPL22/RPL15/EIF3D/RPL9/RPL31/RPS27A/DPH6/RPL35/RPS6/RPS4X/RPL29/RPS3A/RPS2/DPH3/RPLP1/RPL19/RPS10/RPL7A/RPL28/EIF3L/RPS8/RPL3/RPL4/RPL23A",38
"GO:0042273","GO:0042273","ribosomal large subunit biogenesis","17/772","75/17790",1.60816502315521e-08,4.02764930049223e-05,3.74533169866411e-05,"RPL24/RPL6/GTF3A/ZNHIT6/BRIX1/NSA2/NOP53/RPL26/SDAD1/DDX18/SNU13/SURF6/RPL35/ZNHIT3/RSL24D1/RPL7A/RPL23A",17
"GO:0022613","GO:0022613","ribonucleoprotein complex biogenesis","46/772","462/17790",1.4108851871433e-07,0.000215506229137625,0.000200400345469521,"MPHOSPH10/RPL24/RPL6/GTF3A/RPS14/ZNHIT6/EXOSC10/DKC1/NSUN3/BRIX1/RPL13A/EIF3H/HSP90AA1/NOL11/EIF3G/TRMT112/EIF3K/NSA2/NOP53/SF3A3/RPSA/EIF2D/HELQ/WDR36/RPUSD4/RPL26/SDAD1/EIF3D/NOP58/DDX18/SNU13/SURF6/NUDT16/NOP56/RPL35/RPS6/ZNHIT3/LSM2/RSL24D1/RNASEL/NGDN/CELF2/RPL7A/EIF3L/RPS8/RPL23A",46
"GO:0042254","GO:0042254","ribosome biogenesis","35/772","306/17790",1.72095211928628e-07,0.000215506229137625,0.000200400345469521,"MPHOSPH10/RPL24/RPL6/GTF3A/RPS14/ZNHIT6/EXOSC10/DKC1/NSUN3/BRIX1/NOL11/TRMT112/NSA2/NOP53/RPSA/HELQ/WDR36/RPUSD4/RPL26/SDAD1/NOP58/DDX18/SNU13/SURF6/NUDT16/NOP56/RPL35/RPS6/ZNHIT3/RSL24D1/RNASEL/NGDN/RPL7A/RPS8/RPL23A",35
"GO:0016072","GO:0016072","rRNA metabolic process","30/772","264/17790",1.48875358496562e-06,0.00149143334141856,0.00138689149757323,"MPHOSPH10/GTF3A/RPS14/ZNHIT6/EXOSC10/DKC1/NSUN3/BRIX1/NOL11/TRMT112/NSA2/NOP53/HELQ/WDR36/RPUSD4/RPL26/NOP58/DDX18/SNU13/NUDT16/NOP56/RPL35/RPS6/XRN1/ZNHIT3/RNASEL/NGDN/RPL7A/RPS8/TRIR",30
"GO:0006364","GO:0006364","rRNA processing","27/772","226/17790",1.8953331237764e-06,0.00158228726949933,0.0014713770303001,"MPHOSPH10/RPS14/ZNHIT6/EXOSC10/DKC1/NSUN3/BRIX1/NOL11/TRMT112/NSA2/NOP53/HELQ/WDR36/RPUSD4/RPL26/NOP58/DDX18/SNU13/NUDT16/NOP56/RPL35/RPS6/ZNHIT3/RNASEL/NGDN/RPL7A/RPS8",27
"GO:0034470","GO:0034470","ncRNA processing","40/772","430/17790",5.01308665368118e-06,0.003587221578327,0.003335775705645,"MPHOSPH10/RPS14/ZNHIT6/WDR6/EXOSC10/DKC1/MTFMT/NSUN3/BRIX1/NSUN2/HENMT1/NOL11/TRMT112/NSA2/TRMO/PRORP/NOP53/HELQ/NCBP2/WDR36/PUM2/RPUSD4/RPL26/TSEN15/NOP58/DDX18/SNU13/TP53RK/NUDT16/NOP56/RPL35/RPS6/ZNHIT3/RNASEL/MYCN/DPH3/NGDN/STAT3/RPL7A/RPS8",40
"GO:0009615","GO:0009615","response to virus","38/772","403/17790",6.29971776540343e-06,0.00394441078586322,0.00366792777788292,"TRIM27/OAS1/USP15/F2RL1/HTRA1/EEF1G/IFI6/HSP90AA1/STAT1/TRIM38/GBP1/NOP53/BCL3/LGALS9/NLRC5/SAMHD1/ZC3HAV1/ATG16L1/PUM2/MAPK14/NMI/CXCL9/TRIM8/RIPK3/ELMOD2/TLR2/TRIM5/URI1/CDK6/SIN3A/TRIM25/EXT1/UNC93B1/RNASEL/MX2/CXCR4/LGALS8/CD40",38
"GO:0072655","GO:0072655","establishment of protein localization to mitochondrion","17/772","121/17790",1.84976833563697e-05,0.0102949884368951,0.00957336243882291,"TIMM9/SAE1/BAG3/HSP90AA1/TOMM6/GRPEL2/PMPCB/OXA1L/RALA/HK1/PAM16/SH3GLB1/LRRK2/PRKAA1/ARIH2/PARL/AKT1",17
"GO:0070585","GO:0070585","protein localization to mitochondrion","17/772","126/17790",3.15869593850489e-05,0.015821907955971,0.0147128731872465,"TIMM9/SAE1/BAG3/HSP90AA1/TOMM6/GRPEL2/PMPCB/OXA1L/RALA/HK1/PAM16/SH3GLB1/LRRK2/PRKAA1/ARIH2/PARL/AKT1",17
